,host_response_rate,host_acceptance_rate,price,availability_365,number_of_reviews,review_scores_cleanliness,review_scores_communication,review_scores_location,reviews_per_month,room_type
10200,100.0,96.0,557.0,274,22.0,4.68,4.73,4.68,0.72,Shared room
10201,94.5,100.0,3000.0,365,5.0,4.8,5.0,5.0,0.16,Entire home/apt
10202,94.5,91.5,994.0,241,15.0,4.93,5.0,5.0,0.6,Entire home/apt
10203,98.6,99.0,2500.0,340,15.0,4.73,4.8,5.0,0.48,Entire home/apt
10204,100.0,100.0,3000.0,355,1.0,5.0,5.0,5.0,0.08,Private room
10205,98.0,96.0,792.0,311,2.0,4.8,4.9,4.9,0.06,Private room
10206,100.0,100.0,1229.0,316,66.0,4.91,4.82,4.92,2.13,Entire home/apt
10207,100.0,100.0,1068.0,353,39.0,4.97,4.9,4.95,2.1,Entire home/apt
10208,100.0,100.0,1183.0,319,82.0,4.83,4.88,4.98,2.73,Entire home/apt
10209,98.0,97.0,2750.0,338,16.0,4.8,4.9,4.69,0.56,Entire home/apt
10210,94.5,91.5,1328.0,365,23.0,4.91,4.83,4.96,0.75,Entire home/apt
10211,90.0,97.3,550.0,301,2.0,5.0,5.0,5.0,0.07,Entire home/apt
10212,100.0,100.0,1052.0,351,5.0,5.0,4.6,4.8,0.17,Entire home/apt
10213,94.5,91.5,1062.7,363,0.0,4.7,4.8,4.8,1.7,Entire home/apt
10214,100.0,100.0,950.0,333,7.0,4.71,4.9,4.71,0.33,Entire home/apt
10215,100.0,100.0,1125.0,362,48.0,4.9,4.96,5.0,2.13,Entire home/apt
10216,98.6,97.3,1000.0,354,2.0,5.0,5.0,4.5,0.07,Entire home/apt
10217,100.0,100.0,1122.0,297,36.0,4.78,4.92,4.94,1.17,Entire home/apt
10218,100.0,100.0,495.0,213,3.0,5.0,5.0,5.0,0.1,Private room
10219,100.0,100.0,2162.0,251,20.2,4.84,4.85,4.78,3.97,Entire home/apt
10220,98.0,99.0,280.0,26,71.0,4.83,4.9,4.89,2.29,Private room
10221,100.0,100.0,1136.0,355,60.0,4.95,4.97,4.97,1.92,Entire home/apt
10222,94.5,91.5,600.0,56,13.0,4.46,4.54,4.62,0.53,Entire home/apt
10223,98.6,91.5,265.0,209,1.0,5.0,5.0,5.0,0.03,Private room
10224,98.6,100.0,350.0,362,0.0,4.7,4.8,4.8,1.7,Private room
10225,100.0,100.0,2162.0,223,20.2,4.82,4.78,4.86,4.38,Entire home/apt
10226,98.6,91.5,1000.0,358,0.0,4.7,4.8,4.8,1.7,Entire home/apt
10227,100.0,97.0,1062.7,64,39.0,4.9,4.97,5.0,1.67,Entire home/apt
10228,100.0,99.0,906.0,125,21.0,4.9,5.0,5.0,2.84,Entire home/apt
10229,94.5,100.0,1100.0,0,5.0,5.0,5.0,5.0,0.16,Entire home/apt
10230,100.0,100.0,1102.0,352,30.0,4.83,4.8,4.83,1.7,Entire home/apt
10231,98.6,97.3,850.0,365,1.0,4.8,4.9,4.9,0.06,Private room
10232,98.6,97.3,399.0,365,2.0,5.0,5.0,5.0,0.09,Private room
10233,100.0,96.0,1328.0,335,11.0,5.0,4.91,4.82,0.65,Entire home/apt
10234,100.0,97.3,1800.0,364,15.0,4.53,4.67,4.8,0.48,Entire home/apt
10235,100.0,97.3,750.0,365,0.0,4.7,4.8,4.8,1.7,Entire home/apt
10236,97.0,99.0,1743.0,233,20.2,4.76,4.77,4.64,1.4,Private room
10237,100.0,100.0,980.0,27,52.0,4.94,5.0,4.9,2.26,Entire home/apt
10238,100.0,100.0,1010.0,361,71.0,4.89,4.9,4.93,3.11,Entire home/apt
10239,100.0,100.0,1218.0,361,41.0,4.68,4.61,4.9,1.33,Entire home/apt
10240,100.0,97.0,750.0,365,68.0,4.88,4.94,4.93,2.21,Private room
10241,98.6,97.3,1300.0,365,1.0,4.8,5.0,5.0,0.04,Private room
10242,97.0,99.0,1072.0,276,51.0,4.73,4.61,4.53,1.69,Private room
10243,100.0,100.0,1397.0,293,97.0,4.88,4.84,4.97,3.18,Entire home/apt
10244,100.0,97.0,359.0,163,25.0,4.44,4.76,4.84,0.79,Private room
10245,98.6,97.3,690.0,364,3.0,5.0,5.0,5.0,0.1,Private room
10246,94.5,91.5,759.0,347,70.0,4.84,4.86,4.66,2.25,Entire home/apt
10247,100.0,100.0,925.0,325,96.0,4.89,4.8,4.89,3.12,Entire home/apt
10248,99.0,100.0,700.0,329,47.0,4.66,4.74,4.77,1.57,Entire home/apt
10249,99.0,99.0,1631.0,115,54.0,4.94,4.91,4.98,1.73,Entire home/apt
10250,100.0,97.3,1062.7,30,32.0,4.88,4.94,5.0,1.04,Entire home/apt
10251,94.5,91.5,420.0,0,1.0,5.0,5.0,5.0,0.05,Private room
10252,94.5,91.5,1000.0,0,7.0,4.8,4.86,5.0,0.23,Entire home/apt
10253,100.0,100.0,1302.0,326,67.0,4.67,4.72,4.93,3.2,Entire home/apt
10254,100.0,100.0,660.0,79,7.0,5.0,5.0,4.71,0.24,Entire home/apt
10255,94.5,91.5,1557.0,0,40.0,4.7,4.78,4.93,1.36,Entire home/apt
10256,98.0,100.0,1338.0,362,20.2,4.8,4.58,4.89,3.4,Entire home/apt
10257,98.0,100.0,1247.0,359,20.2,4.85,4.69,4.92,3.46,Entire home/apt
10258,94.5,100.0,1800.0,365,0.0,4.7,4.8,4.8,1.7,Private room
10259,99.0,99.0,1687.0,119,20.2,4.9,4.93,4.95,1.4,Entire home/apt
10260,94.5,91.5,2777.0,0,1.0,5.0,5.0,5.0,0.03,Entire home/apt
10261,94.5,100.0,1281.0,361,41.0,4.83,4.9,4.73,1.33,Entire home/apt
10262,100.0,100.0,843.0,179,17.0,4.71,4.71,4.71,0.73,Entire home/apt
10263,100.0,95.0,1062.7,354,1.0,5.0,5.0,4.9,0.07,Entire home/apt
10264,94.5,100.0,900.0,179,2.0,5.0,5.0,5.0,0.11,Private room
10265,100.0,93.0,232.0,340,9.0,4.8,4.9,4.78,0.32,Entire home/apt
10266,94.0,100.0,950.0,209,100.0,4.7,4.89,4.94,3.23,Private room
10267,94.0,100.0,950.0,210,98.0,4.85,4.87,4.93,3.19,Private room
10268,94.5,100.0,1281.0,361,40.0,4.85,4.53,4.85,1.29,Entire home/apt
10269,94.0,100.0,950.0,365,20.2,4.75,4.94,4.92,1.4,Private room
